id,value
hero-header,Every Child Deserves the Chance to Learn. yayy
hero-subtitle,Friends of Lebanese Alternative Learning funds free, quality education for every child in Lebanon — through technology, in school and out.
hero-cta-primary,Support Our Work
hero-cta-secondary,Learn More
hero-legal,U.S. 501(c)(3) · EIN 99-3511136
hero-background-image,@/assets/hero-bg.jpg
about-eyebrow,Who We Are
about-title,Funding Education at the Roots.
about-col-1-title,Who is FLAL?
about-col-1-body,Friends of Lebanese Alternative Learning (FLAL) is a 501(c)(3) organization based in Washington, D.C., dedicated to funding the work of Lebanese Alternative Learning (LAL) — a Lebanese NGO that believes in the power of education to mobilize change and brighten futures. LAL spreads seeds of education in the least privileged of places, granting access to quality learning through technology, anytime, anywhere.
about-col-2-title,Why a separate U.S. nonprofit?
about-col-2-body,FLAL exists to give donors in the United States a trusted, tax-deductible way to support LAL's mission on the ground in Lebanon. As a registered 501(c)(3), FLAL meets U.S. compliance and transparency standards, making it simple for individuals, family foundations, and corporate partners to contribute with confidence.
about-col-3-title,How does FLAL support LAL?
about-col-3-body,Every dollar raised by FLAL is directed to LAL's programs — funding offline learning technology, teacher training, and free digital curriculum for Lebanese children who would otherwise be left behind. FLAL handles fundraising, donor stewardship, and grant partnerships in the U.S. so LAL can stay focused on impact in the classroom.
about-link-text,Learn more about LAL's work at lal.ngo
about-link-url,https://lal.ngo
how-eyebrow,How the Model Works
how-title,From Donation to Lasting Impact.
how-subtitle,A simple, transparent flow that turns every dollar into continuous learning for children in Lebanon.
how-step-1-title,FLAL Raises Funds
how-step-1-body,Donors in the U.S. contribute tax-deductible gifts to power the mission.
how-step-2-title,LAL Delivers Programs
how-step-2-body,Funds flow to LAL to run offline-first learning programs on the ground.
how-step-3-title,Teachers Get Trained
how-step-3-body,Educators receive ongoing training, coaching, and classroom support.
how-step-4-title,Students Keep Learning
how-step-4-body,Children continue their education—no matter the crisis or context.
how-step-5-title,Communities Take Ownership
how-step-5-body,Local leaders sustain and scale learning spaces for the long term.
impact-eyebrow,LAL's Impact So Far
impact-title,Real Reach, Real Learners.
impact-stat-1-value,68,000+
impact-stat-1-label,Learners Reached
impact-stat-2-value,3,000+
impact-stat-2-label,Educators Trained
impact-stat-3-value,50+
impact-stat-3-label,Schools & Learning Spaces Supported
impact-stat-4-value,1,200+
impact-stat-4-label,Digital Lessons Available
impact-stat-5-value,12+
impact-stat-5-label,Years of Impact
impact-stat-6-value,10+
impact-stat-6-label,Countries Engaged
impact-note,All programs funded through donor support.
stories-eyebrow,Stories
stories-title,Real Stories. Real Change.
stories-subtitle,Meet the learners, teachers, and communities whose lives are being transformed through education.
stories-cta,Read Their Stories
stories-testimonial-quote,I Never Gave Up on Learning.
stories-testimonial-body,Tala, 13, returned to school through LAL's programs after years of disruption.
stories-testimonial-link,Read Tala's Story
stories-testimonial-image,@/assets/tala-portrait.jpg
stories-media-eyebrow,Media
stories-media-title,See Our Work in Action.
stories-media-subtitle,Watch videos and photos from our learning spaces across Lebanon.
stories-media-cta,Watch Videos
stories-media-image,https://youtu.be/jF9LLuziUxY?si=hKXUUZSmlnDZHAb6
whylal-eyebrow,Why LAL
whylal-title,Education That Continues—No Matter What.
whylal-body,LAL builds resilient education solutions for crisis-affected communities. Through offline-capable technology, a Lebanese curriculum, trained teachers, and safe learning spaces, children can keep learning even when schools close, homes are disrupted, or electricity and internet are unavailable.
whylal-cta,Learn more about how we work
whylal-pillar-1-title,Offline-First Technology
whylal-pillar-1-body,Learning continues without reliable internet or electricity.
whylal-pillar-2-title,Curriculum Aligned
whylal-pillar-2-body,Content aligned with the Lebanese curriculum for grades K–12.
whylal-pillar-3-title,Teacher Empowerment
whylal-pillar-3-body,Ongoing training and support for educators and school leaders.
whylal-pillar-4-title,Safe Learning Spaces
whylal-pillar-4-body,Alternative learning spaces that are accessible and community-centered.
whylal-pillar-5-title,Community Partnership
whylal-pillar-5-body,Working hand-in-hand with communities for lasting impact.
donate-eyebrow,Get Involved
donate-title,Be Part of the Change.
donate-subtitle,There are many ways to support education in Lebanon.
donate-way-1,Make a Gift
donate-way-2,Partner With Us
donate-way-3,Start a Fundraiser
donate-way-4,Subscribe
donate-subscribe-text,Stay connected. Get updates on our work, stories from the field, and ways to get involved.
donate-subscribe-placeholder,Your email address
donate-subscribe-btn,Notify Me
donate-subscribe-success,Thanks! We'll be in touch.
donate-subscribe-success-desc,You'll hear from us as soon as donations open.
whydonate-eyebrow,Why Donate
whydonate-title,Your Support Keeps Education Going.
whydonate-subtitle,Your donation helps children in Lebanon access quality education, recover lost learning, and build a brighter future.
whydonate-image,@/assets/boy-tablet.jpg
whydonate-item-1-title,Ensure Continuity
whydonate-item-1-body,Keep education going without interruption.
whydonate-item-2-title,Close Learning Gaps
whydonate-item-2-body,Help children catch up and keep up.
whydonate-item-3-title,Reach Out-of-School Children
whydonate-item-3-body,Bring education to children who are left behind.
whydonate-item-4-title,Empower Communities
whydonate-item-4-body,Strengthen communities through education.
whydonate-cta,Donate Today
faq-eyebrow,FAQ
faq-title,Questions, Answered.
faq,Are donations to FLAL tax-deductible?----Yes. Friends of Lebanese Alternative Learning is a registered U.S. 501(c)(3) nonprofit (EIN 99-3511136). Donations from U.S. taxpayers are tax-deductible to the fullest extent allowed by law. You'll receive a receipt for your records.
faq,Where do my donations actually go?----Donations fund LAL's programs on the ground in Lebanon — offline learning technology, free K–12 digital curriculum, teacher training, and community Learning Spaces. FLAL keeps operating costs lean so the maximum share of every dollar reaches children in the classroom.
faq,Why give through FLAL instead of directly to LAL?----FLAL exists so U.S. donors can support LAL's work with the confidence, compliance, and tax benefits of an American nonprofit. We handle U.S. reporting, donor stewardship, and grant partnerships, and pass funds through to LAL — so you get a tax-deductible receipt and LAL gets the resources it needs.
footer-org,Friends of Lebanese Alternative Learning
footer-location,Washington, D.C.
footer-legal,U.S. 501(c)(3) · EIN 99-3511136
footer-email,hello@friendsoflal.org
footer-lal-link,lal.ngo →
footer-lal-url,https://lal.ngo
footer-copyright,© 2025 Friends of Lebanese Alternative Learning
